REGIONE;PROVINCIA;DENOMINAZIONEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONESCUOLA;INDIRIZZOSCUOLA;CAPSCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;SITOWEBSCUOLA
LAZIO;LATINA;I.C.GIULIO CESARE;LTEE809019;DE RUOSI MICHELE;VIA DEI BONIFICATORI 2;4010;SABAUDIA;SCUOLA PRIMARIA;LTIC809007@istruzione.it;Non Disponibile;www.giuliocesare.gov.it
LAZIO;LATINA;I.C.VITRUVIO POLLIONE;LTIC81300V;I.C.VITRUVIO POLLIONE;VIA E.FILIBERTO 73;4023;FORMIA;ISTITUTO COMPRENSIVO;LTIC81300V@istruzione.it;ltic81300v@pec.istruzione.it;Non Disponibile
LAZIO;LATINA;I.I.S. CAMPUS DEI LICEI - M. RAMADU'-;LTTD001013;IIS CAMPUS DEI LICEI RAMADU' - POLO EC.;VIA EINAUDI 1;4012;CISTERNA DI LATINA;ISTITUTO TECNICO COMMERCIALE;LTIS00100R@istruzione.it;Non Disponibile;LICEOCISTERNA.IT
LAZIO;LATINA;"I.I.S.""CARLO E NELLO ROSSELLI""";LTTF00401R;"IIS ""C. N. ROSSELLI"" SETTORE TECNOLOGICO";VIA CARROCETO SNC;4011;APRILIA;ISTITUTO TECNICO INDUSTRIALE;LTIS004008@istruzione.it;Non Disponibile;www.isrosselliaprilia.it
LAZIO;LATINA;I.T. C.SEZ.ASSOCIATA I.C. PISACANE PONZA;LTTD11000N;I.T. C.SEZ.ASSOCIATA I.C. PISACANE PONZA;VIA PANTANO;4027;PONZA;ISTITUTO TECNICO COMMERCIALE;LTTD11000N@istruzione.it;Non Disponibile;www.istitutopisacaneponza.gov.it
LAZIO;LATINA;"IC ""ANTONIO GRAMSCI""";LTIC82100T;"IC ""ANTONIO GRAMSCI""";VIA MARCO AURELIO;4011;APRILIA;ISTITUTO COMPRENSIVO;LTIC82100T@istruzione.it;ltic82100t@pec.istruzione.it;Non Disponibile
LAZIO;LATINA;IC G.VERGA;LTAA840036;VIALE EUROPA;VIALE EUROPA;4014;PONTINIA;SCUOLA INFANZIA;LTIC840007@istruzione.it;Non Disponibile;www.icverga.gov.it
LAZIO;LATINA;IC ISTITUTO COMPRENSIVO;LTEE825017;VIA ANNUNZIATA (CAPOLUOGO);VIA S.MARTINO;4021;CASTELFORTE;SCUOLA PRIMARIA;LTIC825005@istruzione.it;Non Disponibile;WWW.OMNICOMPRENSIVO.IT
LAZIO;LATINA;IC MANFREDINI;LTEE841015;DON LORENZO MILANI(CAPOLUOGO);PIAZZA PIO VI;4014;PONTINIA;SCUOLA PRIMARIA;LTIC841003@istruzione.it;Non Disponibile;didipo.gov.it
LAZIO;LATINA;IC PACIFICI SEZZE -BASSIANO;LTAA82701N;PIAGGE MARINE 12;VIA PIAGGE MARINE N 12;4018;SEZZE;SCUOLA INFANZIA;LTIC82700R@istruzione.it;Non Disponibile;www.ic-sezze-bassiano.lt.it
LAZIO;LATINA;IIS G MARCONI;LTIS013003;IIS G MARCONI;VIA RENO SNC;4100;LATINA;ISTITUTO SUPERIORE;LTIS013003@istruzione.it;ltis013003@pec.istruzione.it;Non Disponibile
LAZIO;LATINA;"IPSEOA ""CELLETTI"" FORMIA";LTRH010504;IPSAR CELLETTI CORSO SERALE FORMIA;GIANOLA;4023;FORMIA;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;LTRH01000P@istruzione.it;Non Disponibile;WWW.ALBERGHIEROFORMIA.IT
LAZIO;LATINA;IST. COMPR. ROCCAGORGA-MAENZA;LTMM80801C;ANNA FRANK;VIA C.COLOMBO 262;4010;ROCCAGORGA;SCUOLA PRIMO GRADO;LTIC80800B@istruzione.it;Non Disponibile;www.icroccagorgamaenza.gov.it
LAZIO;LATINA;IST. COMPRENSIVO P. MATTEJ;LTEE812015;SCUOLA PRIMARIA MARCO POLO;VIA PALAZZO S.N.C.;4023;FORMIA;SCUOLA PRIMARIA;LTIC812003@istruzione.it;Non Disponibile;www.icmattej.it
LAZIO;LATINA;IST. PROFESSIONALE AGRO-AMBIENTALE ITRI;LTRA020005;IST. PROFESSIONALE AGRO-AMBIENTALE ITRI;PIAZZA SANDRO PERTINI 1;4020;ITRI;IST PROF PER L'AGRICOLTURA E L'AMBIENTE;LTRA020005@istruzione.it;Non Disponibile;www.comprensivoitri.it
LAZIO;LATINA;IST.COMPR. ARTURO TOSCANINI;LTAA84403D;VIA AMBURGO;Non Disponibile;4011;APRILIA;SCUOLA INFANZIA;LTIC84400E@istruzione.it;Non Disponibile;www.ictoscaniniaprilia.it
LAZIO;LATINA;ISTITUTO COMPRENSIVO CARDUCCI;LTEE80302B;VIRGILIO;PIAZZA DON LUIGI DI LIEGRO 13;4024;GAETA;SCUOLA PRIMARIA;LTIC803008@istruzione.it;Non Disponibile;www.carduccigaeta.gov.it
LAZIO;LATINA;ISTITUTO COMPRENSIVO ITRI;LTAA83502N;VIA GIOVENCO;VIA 8 MARZO;4020;ITRI;SCUOLA INFANZIA;LTIC83500Q@istruzione.it;Non Disponibile;www.istitutocomprensivoitri.it
LAZIO;LATINA;"ISTITUTO COMPRENSIVO""L.CAETANI""";LTEE800064;PRATO CESARINO;VIA CONCA;4012;CISTERNA DI LATINA;SCUOLA PRIMARIA;LTIC80000R@istruzione.it;Non Disponibile;www.istitutoleonecaetani.it
LAZIO;LATINA;ITC FUSCO;LTTD10050C;FUSCO ( CORSO SERALE);VIA A.FUSCO;4021;CASTELFORTE;ISTITUTO TECNICO COMMERCIALE;LTTD100003@ISTRUZIONE.IT;Non Disponibile;www.ominicomprensivo.it
LAZIO;LATINA;ITC VITTORIO VENETO SALVEMINI;LTTD02000B;ITC VITTORIO VENETO SALVEMINI;VIALE MAZZINI 4;4100;LATINA;ISTITUTO TECNICO COMMERCIALE;LTTD02000B@istruzione.it;lttd02000b@pec.istruzione.it;www.itcvittoriovenetosalvemini.edu.it
LAZIO;LATINA;ITI A. PACINOTTI;LTTF09000X;ITI A. PACINOTTI;VIA APPIA LATO ITRI 75;4022;FONDI;ISTITUTO TECNICO INDUSTRIALE;LTTF09000X@istruzione.it;LTTF09000X@pec.istruzione.it;www.itisfondi.it
LAZIO;LATINA;L. B. ALBERTI;LTPS030006;L. B. ALBERTI;VIA SANTA REPARATA N. 19;4020;MINTURNO;LICEO SCIENTIFICO;LTPS030006@istruzione.it;ltps030006@pec.istruzione.it;www.liceoalbertiminturno.it
LAZIO;LATINA;L. DA VINCI E ROCCASECCA VOLSCI;LTAA80103G;SONNINO SCALO;VIA SCALO;4010;SONNINO;SCUOLA INFANZIA;LTIC80100L@istruzione.it;Non Disponibile;www.icsonnino.gov.it
LAZIO;LATINA;L.DA VINCI DI S. FELICE CIRCEO;LTMM820013;SC. MEDIA L.DA VINCI S.FELICE;VIA GINO ROSSI;4017;SAN FELICE CIRCEO;SCUOLA PRIMO GRADO;LTIC820002@istruzione.it;Non Disponibile;www.circeoscuola.it
LAZIO;LATINA;LC DANTE ALIGHIERI;LTPC080004;LC DANTE ALIGHIERI;VIALE MAZZINI;4100;LATINA;LICEO CLASSICO;LTPC080004@istruzione.it;ltpc080004@pec.istruzione.it;www.gobettifondi.it
LAZIO;LATINA;LEONARDO DA VINCI-RODARI;LTIC84800T;LEONARDO DA VINCI-RODARI;VIALE DE CHIRICO N.3;4100;LATINA;ISTITUTO COMPRENSIVO;LTIC84800T@istruzione.it;ltic84800t@pec.istruzione.it;Non Disponibile
LAZIO;LATINA;LICEO ARTISTICO;LTSL02000C;LICEO ARTISTICO;VIALE GIULIO CESARE N.20;4100;LATINA;LICEO ARTISTICO;LTSL02000C@istruzione.it;LTSL02000C@PEC.ISTRUZIONE.IT;www.isissteodosiorossi.it
LAZIO;LATINA;LICEO MARCO TULLIO CICERONE POLLIONE;LTIS021002;LICEO MARCO TULLIO CICERONE POLLIONE;VIA OLIVETANI 24;4023;FORMIA;ISTITUTO SUPERIORE;LTIS021002@istruzione.it;LTIS021002@pec.istruzione.it;www.sanisalvemini.eu
LAZIO;LATINA;LICEO STATALE ALESSANDRO MANZONI;LTPM030007;LICEO STATALE ALESSANDRO MANZONI;VIALE LE CORBUSIER SNC;4100;LATINA;ISTITUTO MAGISTRALE;LTPM030007@istruzione.it;ltpm030007@pec.istruzione.it;www.manzonilatina.gov.it
LAZIO;LATINA;"LICEO-IST.TECNICO I.O.""G.CESARE""SABAUDIA";LTTF05000D;"LICEO-IST.TECNICO I.O.""G.CESARE""SABAUDIA";VIA DEL PARCO NAZIONALE 10;4016;SABAUDIA;ISTITUTO TECNICO INDUSTRIALE;LTTF05000D@istruzione.it;Non Disponibile;www.giuliocesare.gov.it
LAZIO;LATINA;LS G. B. GRASSI;LTPS02000G;LS G. B. GRASSI;VIA S. AGOSTINO 8;4100;LATINA;LICEO SCIENTIFICO;LTPS02000G@istruzione.it;ltps02000g@pec.istruzione.it;www.liceograssilatina.org
LAZIO;LATINA;LS L. DA VINCI (SEZ. CLASS.-SC. UMANE);LTPS04000R;LS L. DA VINCI (SEZ. CLASS.-SC. UMANE);VIA PANTANELLE SNC;4019;TERRACINA;LICEO SCIENTIFICO;LTPS04000R@istruzione.it;ltps04000r@pec.istruzione.it;www.liceoterracina.edu.it
LAZIO;LATINA;MAJORANA;LTPS05000B;MAJORANA;VIA SEZZE SNC;4100;LATINA;LICEO SCIENTIFICO;LTPS05000B@istruzione.it;ltps05000b@pec.istruzione.it;www.liceomajoranalatina.it
LAZIO;LATINA;PACIFICI E DE MAGISTRIS;LTRH006014;PACIFICI DE MAGISTRIS;VIA CAPPUCCINI SNC;4018;SEZZE;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;LTIS00600X@istruzione.it;Non Disponibile;www.mattei - einaudi.it
LAZIO;LATINA;SAN BENEDETTO;LTVC010005;SAN BENEDETTO;VIA MARIO SICILIANO N 4;4010;LATINA;CONVITTO ANNESSO;LTVC010005@istruzione.it;Non Disponibile;Non Disponibile
LAZIO;LATINA;SAN BENEDETTO;LTTD01601R;SAN BENEDETTO;V.MARIO SICILIANO 4;4100;LATINA;ISTITUTO TECNICO COMMERCIALE;LTIS01600E@istruzione.it;Non Disponibile;www.ipasanbenedetto.gov.it
LAZIO;LATINA;SOTTOTENENTE ALFREDO ASPRI;LTMM85701N;BUONARROTI;VIA VALLE;4029;SPERLONGA;SCUOLA PRIMO GRADO;LTIC85700L@istruzione.it;Non Disponibile;www.icaspri.gov.it
LAZIO;LATINA;TEODOSIO ROSSI;LTIS00300C;TEODOSIO ROSSI;VIA MONTANINO1;4015;PRIVERNO;ISTITUTO SUPERIORE;LTIS00300C@istruzione.it;ltis00300c@pec.istruzione.it;Non Disponibile
LAZIO;LATINA;TORQUATO TASSO;LTMM85101P;VIA ARIOSTO;VIA ARIOSTO;4100;LATINA;SCUOLA PRIMO GRADO;LTIC85100N@istruzione.it;Non Disponibile;www.ictassolatina.edu.it
LAZIO;RIETI;"""PROF. FERRUCCIO ULIVI""";RIEE81701R;"SCUOLA ELEMENTARE ""L. DA VINCI""";VIA MONTELEONE 5;2037;POGGIO MOIANO;SCUOLA PRIMARIA;RIIC81700P@istruzione.it;Non Disponibile;WWW.ICSPOGGIOMOIANO@IT
LAZIO;RIETI;ANTONIO MALFATTI - CONTIGLIANO;RIAA82301V;CONTIGLIANO;VIA DELLA REPUBBLICA23;2043;CONTIGLIANO;SCUOLA INFANZIA;RIIC823002@istruzione.it;Non Disponibile;www.ic-scuole-contigliano.it
LAZIO;RIETI;CONVITTO LS AMATRICE;RIVC03000V;CONVITTO LS AMATRICE;VIALE PADRE GIOVANNI MINOZZI;2012;AMATRICE;CONVITTO ANNESSO;RIVC03000V@ISTRUZIONE.IT;Non Disponibile;Non Disponibile
LAZIO;RIETI;CPIA 6;RIMM70001D;SCUOLA MEDIA ADULTI - SEZIONE CARCERE;VIA MAESTRI DEL LAVORO 2/C;2100;RIETI;SCUOLA PRIMO GRADO;RIMM035009@istruzione.it;Non Disponibile;Non Disponibile
LAZIO;RIETI;FORUM NOVUM - TORRI IN SABINA;RIEE808045;C. COLLODI;VIA CAVOUR N. 52;2048;STIMIGLIANO;SCUOLA PRIMARIA;RIIC80800X@istruzione.it;Non Disponibile;www.icforumnovum.gov.it
LAZIO;RIETI;GALILEO GALILEI - CITTADUCALE;RIEE82001L;FRAZ. GROTTI;VIA 8 MARZO;2010;CITTADUCALE;SCUOLA PRIMARIA;RIIC82000E@istruzione.it;Non Disponibile;www.icgalileicittaducale.it
LAZIO;RIETI;GIOVANNI PASCOLI;RIMM82101B;GIOVANNI PASCOLI;LOCALITA' CAMPOMORO;2100;RIETI;SCUOLA PRIMO GRADO;RIIC82100A@istruzione.it;Non Disponibile;www.istitutopascolirieti.it
LAZIO;RIETI;GIOVANNI XXIII - PETRELLA SALTO;RIEE807016;PETRELLA SALTO;VIA S.MARIA APPARI;2025;PETRELLA SALTO;SCUOLA PRIMARIA;RIIC807004@istruzione.it;Non Disponibile;www.icpetrellasalto.it
LAZIO;RIETI;I. OMNICOMPRENSIVO BORGOROSE;RIMM81901B;BORGOROSE;VIA MICANGELI;2021;BORGOROSE;SCUOLA PRIMO GRADO;RIIC81900A@istruzione.it;Non Disponibile;www.istitutoonnicomprensivoborgorose.it
LAZIO;RIETI;I. OMNICOMPRENSIVO DI AMATRICE;RIAA81102N;AMATRICE;VIALE F. GRIFONI;2012;AMATRICE;SCUOLA INFANZIA;RIIC81100Q@istruzione.it;Non Disponibile;www.icamatrice.gov.it
LAZIO;RIETI;I. OMNICOMPRENSIVO S. PERTINI;RIAA82403R;MONTEBUONO;VIA GUGLIELMO MARCONI S.N.C.;2040;MONTEBUONO;SCUOLA INFANZIA;RIIC82400T@istruzione.it;Non Disponibile;www.istitutoomnicomprensivopertini.gov.it
LAZIO;RIETI;I.C. FARA SABINA;RIAA827016;FRAZ TALOCCI;VIA ENRICO TOTI;2032;FARA IN SABINA;SCUOLA INFANZIA;RIIC827009@istruzione.it;Non Disponibile;www.icfarasabina.it
LAZIO;RIETI;"I.I.S. ""CELESTINO ROSATELLI""";RIIS007008;"I.I.S. ""CELESTINO ROSATELLI""";VIALE A. FASSINI N.1;2100;RIETI;ISTITUTO SUPERIORE;RIIS007008@istruzione.it;riis007008@pec.istruzione.it;Non Disponibile
LAZIO;RIETI;"I.I.S. ""GREGORIO DA CATINO""";RITD00801A;ISTITUTO TECNICO ECONOMICO TECNOLOGICO;VIA G. FELICI SNC;2047;POGGIO MIRTETO;ISTITUTO TECNICO COMMERCIALE;RIIS008004@istruzione.it;Non Disponibile;www.iisgregoriodacatino.gov.it
LAZIO;RIETI;"I.I.S. ""L. DI SAVOIA""";RIIS00600C;"I.I.S. ""L. DI SAVOIA""";VIALE MARAINI 54;2100;RIETI;ISTITUTO SUPERIORE;RIIS00600C@istruzione.it;riis00600c@pec.istruzione.it;Non Disponibile
LAZIO;RIETI;"I.I.S. ""STATISTA ALDO MORO""";RIRA00150N;IST.PROF. PER L'AGR. AMB. CORSO SERALE;COLLE DELLA FELCE 3;2032;FARA IN SABINA;IST PROF PER L'AGRICOLTURA E L'AMBIENTE;RIIS001009@istruzione.it;Non Disponibile;www.polocorese.it
LAZIO;RIETI;I.P.S.S.E.O.A. SANDRO PERTINI;RIRH02000T;I.P.S.S.E.O.A. SANDRO PERTINI;VIALE TREDICI GIUGNO 42;2046;MAGLIANO SABINA;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;RIRH02000T@istruzione.it;Non Disponibile;www.istitutoomnicomprensivopertini.gov.it
LAZIO;RIETI;IC A.M.RICCI;RIIC81600V;IC A.M.RICCI;VIA XXIII SETTEMBRE N16;2100;RIETI;ISTITUTO COMPRENSIVO;RIIC81600V@istruzione.it;riic81600v@pec.istruzione.it;Non Disponibile
LAZIO;RIETI;IC ALDA MERINI;RIMM828016;ALDA MERINI;VIA POLLASTRINI SNC;2100;RIETI;SCUOLA PRIMO GRADO;RIIC828005@istruzione.it;Non Disponibile;www.icvillareatina.gov.it
LAZIO;RIETI;IC MARCONI SACCHETTI SASSETTI;RIAA822035;SCUOLA INFANZIA MARCONI;VIALE EMILIO MARAINI 1;2100;RIETI;SCUOLA INFANZIA;RIIC822006@istruzione.it;Non Disponibile;www.icsacchettisassetti.net
LAZIO;RIETI;IST. COMPRENSIVO BASSA SABINA;RIEE82503T;"SCUOLA PRIMARIA ""VOLPICELLI""";VIALE G. DE VITO14;2047;POGGIO MIRTETO;SCUOLA PRIMARIA;RIIC82500N@istruzione.it;Non Disponibile;www.istitutocomprensivopoggiomirteto.it
LAZIO;RIETI;LEONESSA;RIMM806019;LEONESSA;VIA ALDO MORO 8;2016;LEONESSA;SCUOLA PRIMO GRADO;RIIC806008@istruzione.it;Non Disponibile;www.istitutocomprensivodileonessa.it
LAZIO;RIETI;LICEO CLASSICO SCIENTIFICO L. ROCCI;RIPS070005;LICEO CLASSICO SCIENTIFICO L. ROCCI;VIA COLLE DELLA FELCE 28;2032;FARA IN SABINA;LICEO SCIENTIFICO;RIPS070005@istruzione.it;rips070005@pec.istruzione.it;www.liceorocci.it
LAZIO;RIETI;LICEO SCIENTIFICO BORGOROSE;RIPS09000A;LICEO SCIENTIFICO BORGOROSE;VIA MICANGELI 41;2021;BORGOROSE;LICEO SCIENTIFICO;RIPS09000A@istruzione.it;RIPS09000A@pec.istruzione.it;www.istitutoomnicomprensivopertini.gov.it
LAZIO;RIETI;LICEO SCIENTIFICO MARIO TAGLIACOZZO;RIPS08000Q;LICEO SCIENTIFICO MARIO TAGLIACOZZO;VIALE XIII GIUGNO 40;2046;MAGLIANO SABINA;LICEO SCIENTIFICO;RIPS08000Q@istruzione.it;Non Disponibile;www.istitutoomnicomprensivopertini.gov.it
LAZIO;RIETI;LS DI AMATRICE;RIPS040009;LS DI AMATRICE;VIALE PADRE GIOVANNI MINOZZI S.N.C.;2012;AMATRICE;LICEO SCIENTIFICO;RIPS040009@istruzione.it;Non Disponibile;www.icamatrice.gov.it
LAZIO;RIETI;LUIGI MANNETTI - ANTRODOCO;RIMM81801G;SCUOLA SEC. DI 1 GR. ANTRODOCO;VIA LUNGO VELINO 7;2013;ANTRODOCO;SCUOLA PRIMO GRADO;RIIC81800E@istruzione.it;Non Disponibile;riic81800e@istruzione.it
LAZIO;RIETI;MARCO POLO - TORRICELLA;RIMM810022;"""SCUOLA MEDIA XXIV APRILE""";VIA TREBULA MUTUESCA N.135;2033;MONTELEONE SABINO;SCUOLA PRIMO GRADO;RIIC81000X@istruzione.it;Non Disponibile;www.istitutocomprensivotorricella.edu.it
LAZIO;RIETI;MINERVINI SISTI;RIIC829001;MINERVINI SISTI;P.ZZA BACHELET 3;2100;RIETI;ISTITUTO COMPRENSIVO;RIIC829001@istruzione.it;riic829001@pec.istruzione.it;Non Disponibile
LAZIO;RIETI;MONTASOLA;RIMM80901R;CASPERIA;VIA O. VALERIANI SNC;2041;CASPERIA;SCUOLA PRIMO GRADO;RIIC80900Q@istruzione.it;Non Disponibile;www.scuolacasperia.it
LAZIO;RIETI;OMNICOMPRENSIVO BORGOROSE;RITD090006;OMNICOMPRENSIVO BORGOROSE;VIA DELLE VILLE;2021;BORGOROSE;ISTITUTO TECNICO COMMERCIALE;RITD090006@istruzione.it;Non Disponibile;www.istitutoonnicomprensivoborgorose.it
LAZIO;RIETI;RANIERI ANTONELLI COSTAGGINI;RIRH010007;RANIERI ANTONELLI COSTAGGINI;VIA DEI SALICI 62;2100;RIETI;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;RIRH010007@istruzione.it;rirh010007@pec.istruzione.it;www.alberghierorieti.it
LAZIO;RIETI;RIETI;RIVC020008;RIETI;VIA CENTURONI N. 33;2100;RIETI;CONVITTO ANNESSO;RIVC020008@istruzione.it;Non Disponibile;Non Disponibile
LAZIO;ROMA;""" CHARLES DARWIN """;RMPS073018;PITAGORA;VIA TUSCOLANA 388;181;ROMA;LICEO SCIENTIFICO;RMIS07300T@istruzione.it;Non Disponibile;www.isisdarwin.gov.it
LAZIO;ROMA;"""ANGELICA BALABANOFF""";RMEE81501Q;ANGELICA BALABANOFF;VIA A. BALABANOFF;155;ROMA;SCUOLA PRIMARIA;RMIC81500N@istruzione.it;Non Disponibile;www.icbalabanoff.gov.it
LAZIO;ROMA;"""ANTONIO GRAMSCI""";RMMM8AX017;ANTONIO GRAMSCI;VIA DEL MARE;40;ALBANO LAZIALE;SCUOLA PRIMO GRADO;RMIC8AX006@istruzione.it;Non Disponibile;www.icalbanopavona.it
LAZIO;ROMA;"""CARDINALE ORESTE GIORGI""";RMEE8BD01E;"""PADRE PIO DA PIETRELCINA""";P.ZZA EUROPA;38;VALMONTONE;SCUOLA PRIMARIA;RMIC8BD00C@istruzione.it;Non Disponibile;WWW.ISTITUTOGIORGI.IT
LAZIO;ROMA;"""ELSA MORANTE""";RMEE805026;FRANCHETTI;PIAZZA G.L.BERNINI 26;153;ROMA;SCUOLA PRIMARIA;RMIC805003@istruzione.it;Non Disponibile;wwwicelsamorante.gov.it
LAZIO;ROMA;"""ENNIO QUIRINO VISCONTI""";RMMM818016;"""E. Q. VISCONTI""";VIA QUATTRO NOVEMBRE 95;186;ROMA;SCUOLA PRIMO GRADO;RMIC818005@istruzione.it;Non Disponibile;www.icvisconti.it
LAZIO;ROMA;"""FONTANILE ANAGNINO""";RMMM83501X;MAGNANI;VIA FONTANILE ANAGNINO 123;118;ROMA;SCUOLA PRIMO GRADO;RMIC83500V@istruzione.it;Non Disponibile;www.icfontanileanagnino.gov.it
LAZIO;ROMA;"""G. GARIBALDI""";RMVC03000D;"""G. GARIBALDI""";VIA ARDEATINA 524;178;ROMA;CONVITTO ANNESSO;RMVC03000D@istruzione.it;Non Disponibile;Non Disponibile
LAZIO;ROMA;"""GIANNI RODARI"" - VIA NIOBE";RMMM833018;GIANNI RODARI;VIA NIOBE 50/52;118;ROMA;SCUOLA PRIMO GRADO;RMIC833007@istruzione.it;Non Disponibile;www..icgiannirodari.edu.it
LAZIO;ROMA;"""GIOVANNI FALCONE E PAOLO BORS";RMAA88601L;"""DON PINO PUGLISI""";VIA SAN PELLEGRINO 29;67;MORLUPO;SCUOLA INFANZIA;RMIC88600Q@istruzione.it;Non Disponibile;www.icmorlupo.it
LAZIO;ROMA;"""GIULIANO MONTELUCCI""";RMEE8DV02L;PRIMARIA COLLE FIORITO;VIA DELLE GINESTRE 5;12;GUIDONIA MONTECELIO;SCUOLA PRIMARIA;RMIC8DV00D@istruzione.it;Non Disponibile;www.icmontelucci.gov.it
LAZIO;ROMA;"""LUIGI PIRANDELLO""";RMIC875009;"""LUIGI PIRANDELLO""";VIA APPENNINI53;13;FONTE NUOVA;ISTITUTO COMPRENSIVO;RMIC875009@istruzione.it;rmic875009@pec.istruzione.it;Non Disponibile
LAZIO;ROMA;"""MONTESSORI""";RMPQ010009;"""MONTESSORI""";VIA LIVENZA 8;198;ROMA;SCUOLA MAGISTRALE;RMPQ010009@istruzione.it;rmpq010009@pec.istruzione.it;www.istitutomontessori.gov.it
LAZIO;ROMA;"""PIO LA TORRE""";RMAA846027;S. NICOLA;VIA CEVA 248;123;ROMA;SCUOLA INFANZIA;RMIC846009@istruzione.it;Non Disponibile;http//www.icpiolatorre.gov.it/
LAZIO;ROMA;"""RAFFAELLO""";RMAA83702C;ANTONI GAUDI';VIA E. FLORIAN;173;ROMA;SCUOLA INFANZIA;RMIC83700E@istruzione.it;Non Disponibile;www.raffaello.roma.it
LAZIO;ROMA;"""RITA LEVI MONTALCINI""";RMEE8B6027;DON MICHELE RUA;VIA GIUSEPPE BELLONI 30;175;ROMA;SCUOLA PRIMARIA;RMIC8B6004@istruzione.it;Non Disponibile;http//www.iclevimontalcini.gov.it/
LAZIO;ROMA;"""TOMMASO SILVESTRI""";RMAA87101V;TREVIGNANO CENTRO URBANO;VIA CARLO ALBERTO DALLA CHIESA S.N.C.;69;TREVIGNANO ROMANO;SCUOLA INFANZIA;RMIC871002@istruzione.it;Non Disponibile;www.ictommasosilvestri.it
LAZIO;ROMA;"""TRILUSSA""";RMAA30902X;P.LE DELLE REGIONI - COMPR. C;PIAZZALE DELLE REGIONI S.N.C.;40;POMEZIA;SCUOLA INFANZIA;RMEE309003@istruzione.it;Non Disponibile;cdtrilussapomezia.gov.it
LAZIO;ROMA;"""VIA CAROTENUTO 30""";RMAA8CZ013;VIA CAROTENUTO 6;VIA GIORGIO DE LULLO 98;125;ROMA;SCUOLA INFANZIA;RMIC8CZ006@istruzione.it;Non Disponibile;www.icviacarotenuto.it
LAZIO;ROMA;"""VIA LAURENTINA 710""";RMEE8CX02N;ADA TAGLIACOZZO;VIA CARLO EMILIO GADDA 80;143;ROMA;SCUOLA PRIMARIA;RMIC8CX00E@istruzione.it;Non Disponibile;www.ic-vialaurentina710-roma.it/
LAZIO;ROMA;"""VIA MATTEOTTI 11""";RMIC8CD003;"""VIA MATTEOTTI 11""";VIA G.MATTEOTTI 11;33;CAVE;ISTITUTO COMPRENSIVO;RMIC8CD003@istruzione.it;rmic8cd003@pec.istruzione.it;Non Disponibile
LAZIO;ROMA;ALBERGHIERO;RMRH09000P;ALBERGHIERO;ENOGASTRONOMIA E OSPITALITA ALBERGHIERA;19;TIVOLI;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;RMRH09000P@istruzione.it;Non Disponibile;WWW.CONVITTOTIVOLI.IT
LAZIO;ROMA;ALBERTELLI;RMPC17000D;ALBERTELLI;VIA D. MANIN 72;185;ROMA;LICEO CLASSICO;RMPC17000D@istruzione.it;rmpc17000d@pec.istruzione.it;http//liceopiloalbertelli.gov.it
LAZIO;ROMA;ALESSANDRO MAGNO;RMMM8FP01B;ALESSANDRO MAGNO;VIA STESICORO 115;125;ROMA;SCUOLA PRIMO GRADO;RMIC8FP00A@istruzione.it;Non Disponibile;www.alessandromagnoaxa.it
LAZIO;ROMA;ALFIERI LANTE DELLA ROVERE;RMEE8BL013;GRAZIOLI LANTE DELLA ROVERE;VIA TEVERE 22;198;ROMA;SCUOLA PRIMARIA;RMIC8BL001@istruzione.it;Non Disponibile;www.alfierilantedellarovere.it
LAZIO;ROMA;AMERIGO VESPUCCI;RMRH04000N;AMERIGO VESPUCCI;VIA FACCHINETTI 42;159;ROMA;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;RMRH04000N@istruzione.it;rmrh04000n@pec.istruzione.it;http//www.ipssarvespucci.gov.it
LAZIO;ROMA;ANCO MARZIO;RMPC030006;ANCO MARZIO;VIA CAPO PALINURO 72;122;ROMA;LICEO CLASSICO;RMPC030006@istruzione.it;rmpc030006@pec.istruzione.it;www.ancomarzioliceo.gov.it
LAZIO;ROMA;ANGELO FRAMMARTINO;RMSL087013;ANGELO FRAMMARTINO;PIAZZA S. MARIA DELLE GRAZIE 10;15;MONTEROTONDO;LICEO ARTISTICO;RMIS08700Q@istruzione.it;Non Disponibile;www.istitutoframmartino.gov.it
LAZIO;ROMA;ANNA FRAENTZEL CELLI;RMMM8EK01N;SMS STEFANIA QUARANTA;VIA F. FIORENTINI 48;159;ROMA;SCUOLA PRIMO GRADO;RMIC8EK00L@istruzione.it;Non Disponibile;www.icannacelli.gov.it
LAZIO;ROMA;ANTONIO DE CURTIS;RMMM85201N;ANTONIO DE CURTIS;VIA TENUTA DI TORRENOVA 130;133;ROMA;SCUOLA PRIMO GRADO;RMIC85200L@istruzione.it;Non Disponibile;www.icdecurtis.gov.it
